"segmento_id","acto_id","titulo","palabrasclave","transcripcion","latitudp","longitudp"
"1","1","Presentación",,"<p>DEMETRIA: Nada más que yo orita ando previniendo para bañiar, [ah] eso es que lo andaba haciendo ya, sí.</p>
<p>BERENICE: A ver, no nos, no nos tardamos mucho.</p>
<p>DEMETRIA: Ajá, sí. </p>
<p>BERENICE: ¿Quién va a preguntar?</p>
<p>GEORGINA: Pues, si quiere empezamos con su nombre [mjm] ¿Cómo se llama usted?</p>
<p>DEMETRIA: Yo me llamo Demetria.</p>
<p>GEORGINA: Demetria.</p>
<p>BERENICE: ¿Y cómo se apellida? ¿Demetria qué?</p>
<p>DEMETRIA: Antonio Guzmán [mjm]. </p>
<p>BERENICE: ¿Y cuántos?</p>
<p>GEORGINA: ¿Y cuántos años tiene? </p>
<p>DEMETRIA: No, pos ya tengo setenta, setenta y dos.</p>
<p>ITZI: ¿Y nació aquí en la Pacanda? </p>
<p>DEMETRIA: Sí, aquí, somos de aquí pues, nativos, sí.</p>
<p>GEORGINA: ¿Su esposo también?</p>
<p>DEMETRIA: Sí, también él, también sí, también ya está grande pues también él. Él lleva más, ganó, este, 4 años, me gana a mí. [Oh] Sí, sí. </p>
<p> </p>","19.44971543","-101.73198736"
"2","2",,,"<p>MANUEL BAUTISTA: nosotros analizamos co, cómo, cómo es la vida este de nosotros pero en</p>
<p>dos visiones diferentes, [Berenice: ajá] ajá. Eso es lo que, [Berenice: órale, qué interesante]</p>
<p>trabajo pues en esa parte. Eso también he hecho este algunos, yo también trabajo en lo que</p>
<p>son videos.</p>
<p>BERENICE GRANADOS: ¡Ah! Tienes que ir a nuestro laboratorio entonces y más bien [Manuel: sí</p>
<p>este...] vamos a hacer un proyecto juntos.</p>","19.67072006","-101.55405124"
"3","5","Oficio de familia","Historia de vida","<p>00:00</p>
<p>BERENICE: ¿Nos puede decir su nombre, su edad y el lugar de donde es originaria?, por</p>
<p>favor.</p>
<p>SALUD: Este, mi nombre es Salud Padilla Saucedo. Soy de Zirahuén, municipio de Salvador</p>
<p>Escalante.</p>
<p>BERENICE: ¿Y su edad?</p>
<p>SALUD: Y mi edad, tengo… sesenta y ocho años. Nací en 1945.</p>
<p>BERENICE: ¿Nació aquí en Zirahuén en 1945?</p>
<p>SALUD: Sí, nací aquí.</p>
<p>BERENICE: ¿Sus papás también son de Zirahuén?</p>
<p>SALUD: Sí, también.</p>
<p>BERENICE: ¿Sus abuelos, o sea, ya es una larga tradición?</p>
<p>SALUD: Abuelas, abuelos todos son nacidos de aquí. De aquí era mi señor.</p>
<p>BERENICE: Oiga, ¿su papá a qué se dedicaba?</p>
<p>SALUD: Este, mi papá se ayudaba a comerciante, a comerciante o, pus sí a salir a vender,</p>
<p>este, fruta.</p>
<p>BERENICE: Fruta. ¿Y a usted también le gusta el comercio?</p>
<p>SALUD: Tingambato, a Morelia. Y pus a mí también [ajá]. Después de que él comerciaba,</p>
<p>pues él le gustaba ir… para los gastos de la casa, y yo pa gastos para mí, porque a mí</p>
<p>mucho me gustaba entrevenir en el templo de la acción católica [ajá]. Y ya yo por el medio</p>
<p>de no pedir, pus yo llevaba mi fruta aparte para yo dar, este, las cooperaciones que me</p>
<p>tocaban [mjm]. Por eso, sobre de eso me fui yo al comercio y áhi sigo.</p>
<p>BERENICE: Porque usted es de las primeras, de las fundadoras de este lugar, del puer…</p>
<p>SALUD: Del muelle.</p>
<p>BERENICE: Del muelle, ¿no?</p>
<p>SALUD: Aquí, sí. Tengo como treinta, como treinta y ocho años que empecé a vender aquí</p>
<p>en el muelle [ajá].</p>
<p>BERENICE: ¿Y qué vendía, de todo o algo en particular?</p>
<p>SALUD: Aquí, desde, cuando yo empecé yo vendía corundas.</p>
<p>BERENICE: Corundas.</p>
<p>SALUD: Que son los tamalitos de ceniza [ajá], mi ollita de crema, mi molcajete de salsa y</p>
<p>algunos refresquitos y ahí empecé [ajá]. Luego ya venían autobuses, venían estudiantes</p>
<p>para acá, y me hacía, este, me traía fruta, me traía, a mis hijas las mandaba pus canastitas de</p>
<p>duraznos, canastitas de pera y vender con los autobuses.</p>","19.45058155","-101.73315993"
"4","4","Presentación",,"<p>VIDAL: […] Y, este… este año fue que , que hizo pues este.</p>
<p>BERENICE: Mjm, el cuartel.</p>
<p>VIDAL: El cuartel. </p>
<p>BERENICE: Don Vidal, ¿cuál es su nombre completo?  </p>
<p>VIDAL: Alejo Reinoso.</p>
<p>BERENICE: Vidal Alejo…</p>
<p>VIDAL: Vidal Alejo Reinoso</p>
<p>BERENICE: ¿Cuántos años tiene usted, don Vidal?</p>
<p>VIDAL: Uy, yo tengo ya… ya estoy grande. Tengo sesenta y cuatro años.</p>
<p>BERENICE: ¿Sesenta y cuatro? [Sí, cumplo…] No, está muy joven, ¿no?</p>
<p>VIDAL: Cumplo [Ajá] en este enero, primero de enero.</p>
<p>BERENICE: Ah, ¿es del primero de enero?</p>
<p>VIDAL: Sí.</p>
<p>BERENICE: Ajá. O sea, empieza usted con el año, ¿no?</p>
<p>VIDAL: Con el año, [Mjm] por eso no, no se equivoca uno [Risas]. </p>
<p> </p>","19.69646200","-101.19838724"
"499","22","Nuevo Amanecer",,"<p>SANTIAGO: Y tampoco queremos este obligarlos a seguir tocando</p>
<p>PABLO: No, no, no hay ningún problema, seguimos nosotros [si] uh cuando nosotros nos picamos no nos para nadie jaja</p>
<p>SANTIAGO: ¿Cómo cuánto tiempo ensayan normalmente?</p>
<p>PABLO: Pues unas que, tres cuatro horas a veces un poquito más, por lo mismo, porque toda la semana no lo hacemos, entonces los fines de semana pues hay que aprovechar a lo máximo no, porque después ya vienen los detalles ya cuando salimos a tocar, híjole que ya me canso ya y pues no</p>
<p>LUCIA: Y ¿cómo se llama la orquesta?</p>
<p>PABLO: Nuevo Amanecer, Nuevo Amanecer, traite un disco hijo, de los que grabamos, ahí está en, jajaja ya si quiera para que lo escuchen, ta todo por sin ningún lado pues, pero, ahí de los discos que están ahí en el librero, ahí saca uno</p>
<p>LUCIA: Y ¿cada cuánto ensayan?</p>
<p>PABLO: No, traitelo</p>
<p>LUCIA: ¿Cada cuanto ensayan?</p>
<p>ARNULFO: Cada viernes y sábado </p>
<p>Lucia: Ah viernes y sábado </p>
<p>PABLO: Si, cada ocho días nada más porque no pues hay mucho tiempo [mjm] no si estuviéramos todos aquí, que todos estuviéramos, pus esto sería diferente, ya tendríamos a la mejor el cuadro completo, porque ya tendríamos que enseñarles a los otros, y estarían pues aquí, pero pus la necesidad pus nos obliga a salir, ¿eda?</p>
<p>ADELA: Y ¿cómo es completo? ¿Cuántos son?</p>
<p>PABLO: De, mire, por ejemplo, una eh, una orquesta completa sería más o menos de diez gentes, de diez gentes, a ver, si tiene si quiera o trae otro jajaja si verda [si, si es] esas son la grabación que hicimos, se los regalamos para que se lo lleven.</p>
<p>BERENICE: Ah muchas gracias </p>
<p>PABLO: Ahí trae este mi nombre, mi nombre es Pablo Alejo [aja] allí vienen este las composiciones que que se hicieron [muchas gracias].</p>
<p>SANTIAGO: Gracias igual la próxima vez que vengamos les traemos copia de la entrevista.</p>
<p>PABLO: A ver si lo pueden mejorar. </p>
<p>SANTIAGO: Que bueno, como es solo el micrófono de la cámara el sonido no va a estar tan bueno, pero por lo menos para que se vean.</p>
<p>PABLO: Allá nos habían dicho en Cherán dijo: ya viene dentro de tanto tiempo, no pues vamos a maquillarlo bien bien dice para que quede bien jaja pues no le hicieron nada</p>
<p>ARMANDO: Al contrario, le quitaron maquillaje jajaja.</p>
<p>PABLO: Si bueno, vamos a echarle para que…</p>
<p> </p>","0.00000000","0.00000000"
"5","4","Por eso cuando cantamos, cantamos con sentimiento narrativo",,"<p>BERENICE: ¿Y usted a qué se dedica?</p>
<p>VIDAL: Bueno ahorita de… después de que yo me jubilé [Mjm], ya ahorita me dedico nomás al canto [Mjm], este, más que nada ensayar algunas canciones, este, nuevas [Ajá] y, y tratar de, ahora sí, este, tratar de hacer composiciones [Ajá]. Tengo una, una composición, [Mjm]. Se llama, esa composición se llama “Mi esposa”, [guau, ajá], “Mi esposa”, habla de que… primeramente dice, bueno, pus, ya tenemos tiempo que estamos los dos [Mjm], sin problemas, y ps le damos gracias a, al Señor Dios que nos ha permitido dejar vivir tiempo, y que nos sigue dejando viviendo. Este [Mjm], pues, ya que estamos, abrázame nuevamente [Mjm], dame un beso pequeño, este, tratemos de vivir lo mejor en este, en este planeta, y nuevamente le damos, pues, gracias a nuestro Señor. Eso es lo que trata [Ah, qué bonito] la, la pirekua.</p>
<p>BERENICE: ¿Son pirekuas entonces?</p>
<p>VIDAL: Son pirekuas.</p>
<p>BERENICE: ¿Las compone en purépecha?</p>
<p>VIDAL: Sí.</p>
<p>BERENICE: Mmh. Pues a ver si en la noche nos canta, ¿no?</p>
<p>VIDAL: Sí, pues si quieren les… [Estaría muy bien escucharlas] les canto unas dos, tres canciones, pirekuas, pues. También conozco canciones, pero no, no es suficiente [BERENICE: Mjm], porque, ps este, nosotros nos dedicamos más a, a lo que es cultural, lo nuestro [Mjm]. Y, y siempre me han gustado [Mjm], este, esas canciones. [Esta can…] Porque pues [Ajá] hay canciones que están, hablan de, de amor [Mjm], de las flores, del campo y, este, de la vida pues [Ya], de las personas. [Y s…] Por eso cuando cantamos, ps cantamos con sentimiento [Mjm].</p>
<p> </p>","19.69646200","-101.19838724"
"498","22","Música propia de nosotros",,"<p>SANTIAGO: Y ¿las piezas que tocan las aprendieron ahí también o…?</p>
<p>PABLO: Noo [SANTIAGO: las han ido aprendiendo] no, esto ya nosotros las hemos este sacado de otras orquestas, algunas que son de nosotros y así [mjm]. De hecho tenemos muy este muy poca música de nosotros, poca música por lo por lo mismo, porque el grupo no se ha podido eh, pues, ser los mismo integrantes, eh ya hemos cambiado como unas tres veces, o sea nos, se han salido y tener que volver otra vez a empezar con nuevos elementos, ya unos duran unos cinco, seis meses un poquito más, pus hay que esperarse hasta que estos vuelvan a aprender [mjm] entonces por lo mismo no hemos podido, este, sacar música propia de nosotros porque nos hace falta ya sea un trombón ya nos hizo falta un sax o una trompeta y pus ya no se puede, ya no se puede y para eso necesita que el grupo este pus, estemos todos [SANTIAGO: claro] para poder este para hacer nuestra propia música, y hacerles arreglos, entons.</p>
<p>SANTIAGO: Pero si compone alguien, ¿no? Entonces, de ustedes.</p>
<p>PABLO: Pues de hecho yo tengo pus algunas composiciones, unas que, ps ni las tocamos jaja [el son] el sonecito ese que tocamos, la música lenta esa es mía [wow] y tenemos otra que ya ni, ya ni nos acordamos [jajaja] si, horita por ejemplo el muchacho pus apenas está aprendiendo con el trombón tiene poquito tiempo, está chico todavía por eso no le exigimos mucho, porque eh es un instrumento muy, este, muy duro, lo que es el trombón y la trompeta [si] si son de los instrumentos más más fuertes y ya las cañas pus no tanto, pero siempre, y por eso, pus apenas ahorita estamos como quien dice organizándonos nuevamente [mjm], ya teniendo el trombón ya bien seguro, la trompeta, no pus entonces ahora a lo mejor si ya, vamos a pensar que, podemos hacer una grabación.</p>
<p>SANTIAGO: Si, ps cuando quieran grabar; ahí estamos a su servicio [PABLO: ah, ¿sí?] para producirles, si claro [P: ah, ya ven] cuando nos digan [ARNULFO: pus ya nos está grabando]   </p>
<p>nos traemos… ya aquí llevamos el demo para presentarlos y que los contraten… cuando quieran en serio, nos traemos al ingeniero de audio y vemos cómo se puede hacer una, una prueba, [ ah, ps ahí está] o si quieren ir, pues también ahí tenemos donde se puede grabar </p>
<p>PABLO: Pero ¿ustedes vienen de dónde? De México ¿no?</p>
<p>BERENICE: De Morelia.</p>
<p>PABLO: Ah de Morelia, oh.</p>
<p>SANTIAGO: Somos de la, la UNAM, pero venimos del campus que está en, en Morelia, se fundó hace [hace dos años].</p>
<p>PABLO: An la Huerta, el que está por la Huerta. Si ya de todos modos ahorita nos dejan sus datos. </p>
<p>BERENICE: Si les dejamos todo.</p>
<p>SANTIAGO: Aquí tengo una tarjetita.</p>
<p>PABLO: Fíjense no pus entonces.</p>
<p>ELEAZAR: Pa que buscamos…</p>
<p>SANTIAGO: A ver, le dejo de una vez. </p>
<p>PABLO: Si está bien… mta ya ni vemos. Si eso e lo de…y también pus no hemos podido grabar por lo mismo, porque es muy costoso [si] muy costoso, muchos grupos, muchas orquestas ya no han querido grabar por lo mismo que sale muy costoso y la venta es este, muy poca [mjm] y muy barata, o sea nuestra música no la pagan pues [mjm] entonces por eso muchos dicen pus para que le invertimos si no le vamos a sacar, veda, pero pus ya la </p>
<p>ilusión de nosotros es hacer una grabación, mínimamente que esté ahí, ya muchos de nosotros pues ya [están viejillo] ya estamos más, más avanzados. </p>
<p>SANTIAGO: Si no, pus nosotros no grabamos para cosas comerciales no, [aah] pero si se, si quieren que hagamos una grabación del de su música, pues algún día podemos grabarlo, lo, para dejarlo en el archivo y les entregamos a ustedes el el disco no, ya producido para que ustedes ya hagan lo que quieran con él [P: no pus está bien] por lo menos para [Arnulfo: quemarlos] para dejarlos, para que quede el testimonio de que tocaban muy bien.</p>
<p>PABLO: Hicimos una grabación no sé si conozcan el arroyo allá en Cherán [ajá] allí hicimos una grabación pus [fea] ahí nos dijeron pus no se les va a cobrar nada, pero pus la grabación pus no es de calidad que digamos, estuvo mal, y nunca sacamos el disco porque dijimos no, imagínense.</p>
<p>SANTIAGO: Si es que es complicado grabar luego los instrumentos de viento, sobre todo, pero bueno este, acá como es la universidad pues igual la grabación es sin fines de lucro y es gratis, cuando ustedes se decidan.</p>
<p>PABLO: Si, [por aquí los…] lo vamos a tener muy, muy presente y lo vamos a tomar muy en cuenta, pue ya tenemos el número.</p>
<p>ARNULFO: Pal otro fin de semana allá nos vemos jaja.</p>
<p>SANTIAGO: Mañana nos vamos para allá.</p>
<p>PABLO: El número que viene aquí es de usted o.</p>
<p>SANTIAGO: Sí, sí es nuestro, ahí nos puede contactar todo el tiempo.</p>
<p>PABLO: Ah perfecto.</p>
<p>DON VIDAL: Él es este el maestro de la universidad y la señora Berenice [oh] también es de son esposos, son maestros de la universidad.</p>
<p>SANTIAGO: Nosotros somos de la UNAM y las chicas también son ambas chicas, pero son del equipo del laboratorio que tenemos [oh] allí en la UNAM.</p>
<p>PABLO: Pues está muy bien, pues ahí para que nos visiten más seguido [si].</p>
<p> </p>","0.00000000","0.00000000"
"6","4","Se la amanecían cantando",,"<p>BERENICE: ¿Siempre ha cantado?</p>
<p>VIDAL: Siempre.</p>
<p>BERENICE:¿Desde niño?</p>
<p>VIDAL: Pues ya de grande, como de dieciseis años [Ajá], me compré una guitarra y, y nadie me enseñó, yo aprendí solo [Mjm], aprendí solo y…</p>
<p>BERENICE: ¿Solito?</p>
<p>VIDAL: Sí.</p>
<p>BERENICE: ¿A tocar y todo?</p>
<p>VIDAL: Tocar y todo.</p>
<p>BERENICE: ¿Y sus familiares también son músicos o no?</p>
<p>VIDAL: Este, mi papá, a él le gustaba cantar también [Ya]. Aquí, hace tiempo, se organizaban las personas [Mjm], jóvenes y persona grande, para… ellos cantaban en las esquinas [Mjm] y hacían sus concursos [Mjm] en las noches. Y pues se la amanecían cantando, porque se agarraban grupos [Mjm], uno, dos, tres grupos y empezaban a, a cantar y no, ps se la amanecían; y otra vez al día siguiente, y así se la pasaban [Ajá]. Sí, cuando no iban a pescar se dedicaban a eso.</p>
<p>BERENICE: A cantar.</p>
<p>VIDAL: A cantar. Invitaban gentes [Mjm] de fuera y con ellos se la pasaban todas las noches. Y pues se perdió esa costumbre [Mjm] porque ya la nueva generación pues ya no les interesaba eso, por una discriminación que hubo [Mjm] que saliamos a la ciudad y siempre nos veían con malos ojos y nos trataban de humillarnos [Mjm]. Decían: “Estos son los indios de las islas”. Y nosotros no queríamos que nos dijeran indios [Mjm]. Y lo fuimos dejando un tiempo lo que es la cultura [Mjm]. Pero ya después cuando empezaron, este, empezó la radio cultural de Cherán [Mjm], ps ahí empezaron otra vez los cantos, las pirekuas y, este, ps ya hasta ahorita otra vez ya toda la gente quiere cantar [Ah, qué bien], en las comunidades [Ajá]. Por ejemplo aquí hay grupos. </p>
<p>BERENICE: ¿Los jóvenes tabmién?</p>
<p>VIDAL: Sí.</p>
<p>BERENICE: Ah, qué bueno.</p>
<p>VIDAL: Sí hay grupos aquí [Ajá], este, de músicos. Pues hay dos… tres orquestas [Mjm]. Dos son de, de metal [Mjm], y , y otra es de, de pura cuerda [Uy qué bien], pero pues así es como estamos [Qué bien], hasta, hasta hoy [Ajá]. Y le digo a los jóvenes:</p>
<p>—No pues ustedes deben de organizarse para que, ps haya más…</p>
<p>—No pero que a nosotros no nos gusta.</p>
<p>—¿Cómo? Si es lo nuestro [Mjm]. Es lo nuestro y necesitan echarle ganas.</p>
<p>Y dicen:</p>
<p>—Pero es que por ahí nos dicen, pues, que somos indios.</p>
<p>—¿Eso qué tiene que ver? Eso no tiene nada que ver, porque la cultura [Mjm], nosotros no debemos de perder, pues, la cultura [Mjm] de los purépechas. Seguir adelante adelante [Mjm]. Y, y ahorita la comunidad que habla bien purépecha es Janitzio [Ajá]. Todos los niños. Ahí no se, no se permite que el niño hable español [Ajá]. Primero dicen: “No, primero el purépecha y después el español” [Ajá]. Por eso ahí tenemos ya gente que habla bien.</p>
<p>BERENICE: ¿Y aquí los niños no hablan purépecha?</p>
<p>VIDAL: Aquí los niños no hablan [Ajá], aquí se, se perdió eso porque… lo mismo: la gente grande o los papás [Mjm] pues no, no les interesa, no les interesa. Aquí tenemos una niña de seis años o de cinco [Mjm], este, que canta pirekuas bien [Mjm]. La han llevado a diferentes lados, a Estados Unidos [Ah], a Oaxaca a Chiapas [Ajá], y, y así ha salido esa niña.</p>
<p>BERENICE: ¿Cómo se llama?</p>
<p>VIDAL: No, no recuerdo cómo se llama la niña [Mjm]. Sí, pero, ellos, los papás, pues, tocan la música y ella canta [Mjm]. Sí [agua]. Por eso, este, pues hay motivación ya ahorita [Mjm]. Orita… Ayer, por ejemplo, se juntaron los muchachos: </p>
<p>—Queremos ensayar.</p>
<p>—Pues vamos a darle, pues [Mjm].</p>
<p>Y como que hay interés.</p>
<p>BERENICE: ¿Usted practica con ellos, con los muchachos?</p>
<p>VIDAL: Pues apenas [¿Apenas empezaron?], apenas ayer. Sí.</p>
<p>BERENICE: Ah, qué bien.</p>
<p>VIDAL: No practico son [Ajá], pero ellos quieren, pues, formar un trío [Ajá]. Aquí es donde vive Moy.</p>
<p>BERENICE: Aquí es, mjm.</p>
<p>VIDAL: A ver si sale [Timbre].</p>
<p> </p>","19.69646200","-101.19838724"
"493","25","Se lo quería llevar el payaso... allá en Pichátro",,"<p>JUANA: Mmh, ya ve que antes de la reforma no éramos tan cuidadas, tan*… [BERENICE: Mjm] Y podíamos hacer lo que quisiéramos, si nos pasábamos la hora de receso, pues nadie nos enseñ.. nos, nos decía nada. Y, este, y dice ella que estaban en receso, y se pasaron el tiempo, pues, ¿no? A las doce de la no… ah de la noche… A las doce del día empezó a sonar la campana, pero para eso los niños estaban jugando en un árbol, junto a un árbol. Los niños estaban aventando piedras a un determinado lugar, ¿no? [GEORGINA: Mjm] Cuando en eso llega un niño y le dice a la maestra: </p>
<p>—Maestra, maestra, este, ya jalamos a fulanito. Es porque se lo quería llevar el pe… el payaso.</p>
<p>Pero la maestra… ps son niños, ¿no? Pus uno que… no, no hace caso, o no le interesó la, lo que le decía.</p>
<p>—¿Cómo que un payaso?</p>
<p>—Sí, es que estábamos jugando allá en el árbol, apareció el payaso y le empezamos a tirar piedras.</p>
<p>Pero cuando empezó a sonar la, la campana, el payaso agarra a un niño de un pie y se lo quiso llevar [BERENICE: Mjm], y estos lo jalaron [BERENICE: Mjm]. Y eso fue lo que eh, este, lo que me, a mí me impresionó, porque, este, que el día siguiente ya no fue ese niño [BERENICE: Mjm] a la escuela, porque se había asustado. Y fue la mamá, y que la m… y que la maestra le dijo, este, dice, que le dijo la mamá, dice: </p>
<p>—Vine a ver qué fue lo pasó ayer, porque mi hijo dice que se lo quería llevar el payaso. Y, este, y quiero ver dónde, dónde está ese payaso, o cuál o quién fue ese payaso.</p>
<p>Y que ya: </p>
<p>—¿Cuál paya…?</p>
<p>Otra… ahí se acordó la maestra, dice:</p>
<p>—¿Cuál payaso? Ah sí dijeron que un payaso se lo quería llevar. A ver, este…</p>
<p>Y ya juntó a los niños, dice:</p>
<p>—A ver niños, ¿qué fue lo que pasó ayer?</p>
<p>—No pus que estábamos jugando, le dijimos que quién sabe qué, y, este, y se iba a llevar a…— a un niño, pues, dice—y lo jalamos y ya no se lo dejamos— dice, dice.</p>
<p>—Ah sí—dijo la señora—Este, necesitamos…Ya comentamos eso con la familia y nos dijier… me dijieron que hay que pegar una imagen de un santo ahí en esa, en ese árbol, para que no vuelva a pasar eso. </p>
<p>Eso pasó porque antes, dice, venían carros de cirqueros, los circos [BERENICE: Ajá]. En una ca, en una ocasión, así como se sien, se suben en la camioneta por la parte de atrás, uno de esos payasos se cayó y s, y ahí falleció, ¿sí? Y ese es el que se quería llevar al niño.</p>
<p>BERENICE: ¡Uau! [Risas] Qué miedo.</p>
<p>JUANA: Es todo. Y sí pusieron... </p>
<p>GEORGINA: ¿Eso en Pichátaro?</p>
<p>JUANA: En Pichátaro. Y eso sí, este, pusieron la imagen [BERENICE: Ajá], y ps dice la maestra que se quedó pues también de, de a seis, ¿no? Porque, porque este, por ese payaso. Y, y sí, supuestamente pues sí. Es lo que le digo. [BERENICE: Ajá]. Es algo que sí pasó. ¿Por qué? Porque lo cuenta la… contaba la maestra que estuvo trabajando ahí. [BERENICE: Oy]. Y otra, si quieren [BERENICE: ¡Otra! Sí, sí], si tienen tiempo. [GEORGINA: Sí, sí, sí, claro].</p>
<p> </p>","0.00000000","0.00000000"
"492","22","Vamos a tocarles una",,"<p>Pablo:Esto lo utilizamos, por ejemplo, aquí se acostumbra en las bodas visitarse. Vamos a suponer la casa del novio, la casa de la novia, que la casa del padrino, hay que ir a visitarlos y esta es la música que tocamos para caminar, que le decimos nosotros para ir a visitar al novio o a la novia, y esta es la música que se toca lenta, para que la gente vaya caminando. </p>
<p>Y muchas veces han escuchado los toritos [si, si], ¿veda?, ah, pus también eso tocamos. Ya cuando vamos llegando salen en la casa de la novia o suponiendo, ellos también tienen su música y salen al encuentro al que los va a visitar [mjm] con con esa pieza, con el torito. ¿Si la han escuchado?</p>
<p>Berenice: Si, si, si, si.</p>
<p>Pablo: Vamos a tocarles la del torito.</p>
<p>Vidal: ¿Cuál?</p>
<p>Pablo: La que sea.</p>
<p>Vidal: Hay un montón. </p>
<p>Bere: ¿Y no hay nadie aquí que se vaya a casar pronto? [risas].</p>
<p>Santiago: Una pregunta, ¿puedo encenderle a la luz? [si, si].</p>
<p>Pablo: Si, adelante, por allá está, mire.</p>
<p> </p>","0.00000000","0.00000000"
